HARRIS,,,FAST,,,BRiSK,,,ORB,,,AKAZE,,,SIFT,,
Keypoints,Matched,neighbour,Keypoints,Matched,neighbour,Keypoints,Matched,neighbour,Keypoints,Matched,neighbour,Keypoints,Matched,neighbour,Keypoints,Matched,neighbour
120,127,4,431,420,7,274,254,9,102,82,31,157,162,4,131,136,4
123,120,4,408,431,7,276,274,11,106,93,31,159,157,4,121,131,2
120,123,4,430,408,7,275,276,11,113,95,31,154,159,4,135,121,1
120,120,4,389,430,7,293,275,12,109,103,31,162,154,4,134,135,3
115,120,4,417,389,7,275,293,12,124,101,31,163,162,4,139,134,2
114,115,4,422,417,7,289,275,11,129,115,31,173,163,4,136,139,3
125,114,4,413,422,7,268,289,10,127,119,31,175,173,4,147,136,1
112,125,4,401,413,7,260,268,10,124,118,31,175,175,4,156,147,2
113,112,4,405,401,7,250,260,11,125,116,31,175,175,4,135,156,2
