Detector,Descriptor, Avg time,Keypoints,Matched,,,,,
SHITOMASI,BRISK,17.68,113,112,,,,,
SHITOMASI,BRIEF,17.55,113,112,,,,,
SHITOMASI,ORB,17.32,113,111,,,,,
SHITOMASI,FREAK,13.41,113,112,,,,,
HARRIS,BRISK,20.35,34,26,,,,,
HARRIS,BRIEF,20.18,34,25,,,,,
HARRIS,ORB,20.56,34,26,,,,,
HARRIS,FREAK,16.344,34,26,,,,,
FAST,BRISK,4.31,405,401,,,,,
FAST,BRIEF,4.11,405,403,,,,,
FAST,ORB,4.12,405,402,,,,,
FAST,FREAK,4.26,405,401,,,,,
BRISK,BRISK,374.14,250,260,,,,,
BRISK,BRIEF,373.89,250,256,,,,,
BRISK,ORB,372.29,250,260,,,,,
BRISK,FREAK,370.73,250,260,,,,,
ORB,BRISK,8.95,125,116,,,,,
ORB,BRIEF,8.04,125,120,,,,,
ORB,ORB,8.07,125,124,,,,,
ORB,FREAK,8.14,125,71,,,,,
AKAZE,BRISK,87.83,175,175,,,,,
AKAZE,BRIEF,87.13,175,175,,,,,
AKAZE,ORB,86.41,175,175,,,,,
AKAZE,FREAK,83.81,175,175,,,,,
AKAZE,AKAZE,84.51,175,175,,,,,
SIFT,BRISK,90.467,175,175,,,,,
SIFT,BRIEF,134.35,135,156,,,,,
SIFT,FREAK,133.948,135,155,,,,,
